1845800005,6E04AC45,2016-180T09,14,0,26,0,,,,,,,,,,
1845803605,6E04BA55,2016-180T10,19,0,28,0,,,,,,,,,,
1845807205,6E04C865,2016-180T11,16,0,29,0,,,,,,,,,,
1845810805,6E04D675,2016-180T12,25,0,28,0,,,,,,,,,,
1845814405,6E04E485,2016-180T13,22,0,26,0,,,,,,,,,,
1845818005,6E04F295,2016-180T14,20,0,34,0,,,,,,,,,,
1845821605,6E0500A5,2016-180T15,24,1,29,0,,,,,,,,,,
1845825205,6E050EB5,2016-180T16,23,0,28,0,,,,,,,,,,
1845828805,6E051CC5,2016-180T17,14,0,32,0,,,,,,,,,,
1845832405,6E052AD5,2016-180T18,17,0,29,0,,,,,,,,,,
1845836005,6E0538E5,2016-180T19,20,0,25,0,,,,,,,,,,
1845839605,6E0546F5,2016-180T20,18,0,29,0,,,,,,,,,,
1845843205,6E055505,2016-180T21,23,0,26,0,,,,,,,,,,
1845846805,6E056315,2016-180T22,13,0,23,1,,,,,,,,,,
1845850405,6E057125,2016-180T23,19,0,24,0,,,,,,,,,,
1845854005,6E057F35,2016-181T00,19,0,34,0,,,,,,,,,,
1845857605,6E058D45,2016-181T01,22,0,31,0,,,,,,,,,,
1845861205,6E059B55,2016-181T02,15,0,21,0,,,,,,,,,,
1845864805,6E05A965,2016-181T03,12,0,30,0,,,,,,,,,,
1845868405,6E05B775,2016-181T04,17,0,18,0,PERIAPSIS,,,,,,,,,
1845872005,6E05C585,2016-181T05,19,1,18,0,,,,,,,,,,
1845875605,6E05D395,2016-181T06,24,0,24,0,,,,,,,,,,
1845879205,6E05E1A5,2016-181T07,20,0,18,0,,,,,,,,,,
1845882805,6E05EFB5,2016-181T08,20,0,16,0,,,,,,,,,,
1845886405,6E05FDC5,2016-181T09,24,0,23,0,,,,,,,,,,
1845890005,6E060BD5,2016-181T10,15,0,17,0,,,,,,,,,,
1845893605,6E0619E5,2016-181T11,21,0,23,0,,,,,,,,,,
1845897205,6E0627F5,2016-181T12,22,0,17,0,,,,,,,,,,
1845900805,6E063605,2016-181T13,10,0,21,1,,,,,,,,,,
1845904405,6E064415,2016-181T14,25,0,15,0,,,,,,,,,,
1845908005,6E065225,2016-181T15,23,0,18,0,,,,,,,,,,
1845911605,6E066035,2016-181T16,20,0,19,0,,,,,,,,,,
1845915205,6E066E45,2016-181T17,12,0,17,0,,,,,,,,,,
1845918805,6E067C55,2016-181T18,20,0,11,0,,,,,,,,,,
1845922405,6E068A65,2016-181T19,19,0,25,1,,,,,,,,,,
1845926005,6E069875,2016-181T20,18,0,16,0,,,,,,,,,,
1845929605,6E06A685,2016-181T21,22,1,17,0,,,,,,,,,,
1845933205,6E06B495,2016-181T22,25,0,24,0,,,,,,,,,,
1845936805,6E06C2A5,2016-181T23,23,0,20,0,,,,,,,,,,
1845940405,6E06D0B5,2016-182T00,16,0,15,0,,,,,,,,,,
1845944005,6E06DEC5,2016-182T01,24,0,18,0,,,,,,,,,,
1845947605,6E06ECD5,2016-182T02,20,0,18,0,,,,,,,,,,
1845951205,6E06FAE5,2016-182T03,19,0,20,0,,,,,,,,,,
1845954805,6E0708F5,2016-182T04,20,0,18,0,,,,,,,,,,
1845958405,6E071705,2016-182T05,16,0,16,0,,,,,,,,,,
1845962005,6E072515,2016-182T06,27,0,14,0,,,,,,,,,,
1845965605,6E073325,2016-182T07,18,0,20,0,,,,,,,,,,
1845969205,6E074135,2016-182T08,15,1,16,1,,,,,,,,,,
1845972805,6E074F45,2016-182T09,27,0,19,0,,,,,,,,,,
1845976405,6E075D55,2016-182T10,18,0,19,0,,,,,,,,,,
1845980005,6E076B65,2016-182T11,17,0,25,0,,,,,,,,,,
1845983605,6E077975,2016-182T12,17,0,22,0,,,,,,,,,,
1845987205,6E078785,2016-182T13,27,0,24,0,,,,,,,,,,
1845990805,6E079595,2016-182T14,12,1,27,0,,,,,,,,,,
1845994405,6E07A3A5,2016-182T15,25,0,20,0,,,,,,,,,,
1845998005,6E07B1B5,2016-182T16,15,0,13,0,,,,,,,,,,
1846001605,6E07BFC5,2016-182T17,22,0,21,0,,,,,,,,,,
1846005205,6E07CDD5,2016-182T18,12,0,15,0,,,,,,,,,,
1846008805,6E07DBE5,2016-182T19,11,0,20,0,,,,,,,,,,
1846012405,6E07E9F5,2016-182T20,5,0,20,0,,,,,,,,,,
1846016005,6E07F805,2016-182T21,19,0,21,0,,,,,,,,,,
1846019605,6E080615,2016-182T22,10,0,24,0,,,,,,,,,,
1846023205,6E081425,2016-182T23,13,0,26,0,,,,,,,,,,
1846026805,6E082235,2016-183T00,14,1,20,0,,,,,,,,,,
1846030405,6E083045,2016-183T01,21,0,23,0,,,,,,,,,,
1846034005,6E083E55,2016-183T02,16,2,15,0,,,,,,,,,,
1846037605,6E084C65,2016-183T03,17,0,12,0,,,,,,,,,,
1846041205,6E085A75,2016-183T04,17,0,21,0,,,,,,,,,,
1846044805,6E086885,2016-183T05,17,0,33,0,,,,,,,,,,
1846048405,6E087695,2016-183T06,11,0,27,0,,,,,,,,,,
1846052005,6E0884A5,2016-183T07,9,0,24,0,,,,,,,,,,
1846055605,6E0892B5,2016-183T08,13,0,25,0,,,,,,,,,,
1846059205,6E08A0C5,2016-183T09,11,0,32,0,,,,,,,,,,
1846062805,6E08AED5,2016-183T10,13,0,26,0,,,,,,,,,,
1846066405,6E08BCE5,2016-183T11,11,0,27,2,,,,,,,,,,
1846070005,6E08CAF5,2016-183T12,11,0,28,0,,,,,,,,,,
1846073605,6E08D905,2016-183T13,7,0,30,0,,,,,,,,,,
1846077205,6E08E715,2016-183T14,22,0,39,0,,,,,,,,,,
1846080805,6E08F525,2016-183T15,12,0,32,0,,,,,,,,,,
1846084405,6E090335,2016-183T16,14,0,27,0,,,,,,,,,,
1846088005,6E091145,2016-183T17,19,0,27,0,,,,,,,,,,
1846091605,6E091F55,2016-183T18,19,0,27,0,,,,,,,,,,
1846095205,6E092D65,2016-183T19,12,0,24,0,,,,,,,,,,
1846098805,6E093B75,2016-183T20,16,0,22,0,,,,,,,,,,
1846102405,6E094985,2016-183T21,22,1,21,0,,,,,,,,,,
1846106005,6E095795,2016-183T22,15,0,25,0,,,,,,,,,,
1846109605,6E0965A5,2016-183T23,5,0,21,0,,,,,,,,,,
1846113205,6E0973B5,2016-184T00,11,1,24,0,,,,,,,,,,
1846116805,6E0981C5,2016-184T01,15,0,27,0,,,,,,,,,,
1846120405,6E098FD5,2016-184T02,14,0,29,0,,,,,,,,,,
1846124005,6E099DE5,2016-184T03,10,0,26,0,,,,,,,,,,
1846127605,6E09ABF5,2016-184T04,6,0,16,0,,,,,,,,,,
1846131205,6E09BA05,2016-184T05,7,0,27,0,,,,,,,,,,
1846134805,6E09C815,2016-184T06,6,0,25,0,,,,,,,,,,
1846138405,6E09D625,2016-184T07,15,0,24,0,,,,,,,,,,
1846142005,6E09E435,2016-184T08,14,0,25,0,,,,,,,,,,
1846145605,6E09F245,2016-184T09,21,0,21,0,,,,,,,,,,
1846149205,6E0A0055,2016-184T10,20,0,28,0,,,,,,,,,,
1846152805,6E0A0E65,2016-184T11,12,0,23,0,,,,,,,,,,
1846156405,6E0A1C75,2016-184T12,18,0,27,0,,,,,,,,,,
1846160005,6E0A2A85,2016-184T13,9,0,27,0,,,,,,,,,,
1846163605,6E0A3895,2016-184T14,13,0,28,0,,,,,,,,,,
1846167205,6E0A46A5,2016-184T15,12,2,27,0,,,,,,,,,,
1846170805,6E0A54B5,2016-184T16,7,0,18,0,,,,,,,,,,
1846174405,6E0A62C5,2016-184T17,21,0,23,0,,,,,,,,,,
1846178005,6E0A70D5,2016-184T18,16,0,24,0,,,,,,,,,,
1846181605,6E0A7EE5,2016-184T19,14,0,22,0,,,,,,,,,,
1846185205,6E0A8CF5,2016-184T20,15,0,29,0,,,,,,,,,,
1846188805,6E0A9B05,2016-184T21,13,0,29,0,,,,,,,,,,
1846192405,6E0AA915,2016-184T22,16,0,22,0,,,,,,,,,,
1846196005,6E0AB725,2016-184T23,25,0,23,0,,,,,,,,,,
1846199605,6E0AC535,2016-185T00,12,0,23,0,,,,,,,,,,
1846203205,6E0AD345,2016-185T01,11,0,25,0,,,,,,,,,,
1846206805,6E0AE155,2016-185T02,11,0,31,0,,,,,,,,,,
1846210405,6E0AEF65,2016-185T03,12,1,22,0,,,,,,,,,,
1846214005,6E0AFD75,2016-185T04,15,0,23,0,,,,,,,,,,
1846217605,6E0B0B85,2016-185T05,12,0,31,0,,,,,,,,,,
1846221205,6E0B1995,2016-185T06,13,0,29,0,,,,,,,,,,
1846224805,6E0B27A5,2016-185T07,6,0,20,0,,,,,,,,,,
1846228405,6E0B35B5,2016-185T08,5,0,30,0,,,,,,,,,,
1846232005,6E0B43C5,2016-185T09,18,0,29,0,,,,,,,,,,
1846235605,6E0B51D5,2016-185T10,20,0,27,0,,,,,,,,,,
1846239205,6E0B5FE5,2016-185T11,15,0,29,0,,,,,,,,,,
1846242805,6E0B6DF5,2016-185T12,13,0,31,0,,,,,,,,,,
1846246405,6E0B7C05,2016-185T13,14,0,32,0,,,,,,,,,,
1846250005,6E0B8A15,2016-185T14,18,0,28,0,,,,,,,,,,
1846253605,6E0B9825,2016-185T15,15,0,33,1,,,,,,,,,,
1846257205,6E0BA635,2016-185T16,8,0,30,0,,,,,,,,,,
1846260805,6E0BB445,2016-185T17,14,0,31,1,,,,,,,,,,
1846264405,6E0BC255,2016-185T18,13,0,29,0,,,,,,,,,,
1846268005,6E0BD065,2016-185T19,8,0,29,0,,,,,,,,,,
1846271605,6E0BDE75,2016-185T20,28,0,25,0,,,,,,,,,,
1846275205,6E0BEC85,2016-185T21,8,0,22,0,,,,,,,,,,
1846278805,6E0BFA95,2016-185T22,23,0,31,0,,,,,,,,,,
1846282405,6E0C08A5,2016-185T23,13,1,25,0,,,,,,,,,,
1846286005,6E0C16B5,2016-186T00,13,0,27,0,,,,,,,,,,
1846289605,6E0C24C5,2016-186T01,9,0,32,0,,,,,,,,,,
1846293205,6E0C32D5,2016-186T02,5,0,35,0,,,,,,,,,,
1846296805,6E0C40E5,2016-186T03,17,0,36,1,,,,,,,,,,
1846300405,6E0C4EF5,2016-186T04,17,0,26,0,,,,,,,,,,
1846304005,6E0C5D05,2016-186T05,11,0,28,0,,,,,,,,,,
1846307605,6E0C6B15,2016-186T06,11,0,28,0,,,,,,,,,,
1846311205,6E0C7925,2016-186T07,6,1,28,0,,,,,,,,,,
1846314805,6E0C8735,2016-186T08,13,0,28,0,,,,,,,,,,
1846318405,6E0C9545,2016-186T09,9,0,30,0,,,,,,,,,,
1846322005,6E0CA355,2016-186T10,11,0,29,0,,,,,,,,,,
1846325605,6E0CB165,2016-186T11,13,0,26,0,,,,,,,,,,
1846329205,6E0CBF75,2016-186T12,14,0,29,0,,,,,,,,,,
1846332805,6E0CCD85,2016-186T13,11,2,24,0,,,,,,,,,,
1846336405,6E0CDB95,2016-186T14,11,0,25,1,,,,,,,,,,
1846340005,6E0CE9A5,2016-186T15,17,0,26,0,,,,,,,,,,
1846343605,6E0CF7B5,2016-186T16,14,0,21,0,,,,,,,,,,
1846347205,6E0D05C5,2016-186T17,21,0,27,0,,,,,,,,,,
1846350805,6E0D13D5,2016-186T18,15,0,24,0,,,,,,,,,,
1846354405,6E0D21E5,2016-186T19,14,0,35,0,,,,,,,,,,
1846358005,6E0D2FF5,2016-186T20,12,0,29,0,,,,,,,,,,
1846361605,6E0D3E05,2016-186T21,12,0,33,0,,,,,,,,,,
1846365205,6E0D4C15,2016-186T22,16,0,26,0,,,,,,,,,,
1846368805,6E0D5A25,2016-186T23,14,2,35,2,,,,,,,,,,
1846372405,6E0D6835,2016-187T00,11,0,21,0,,,,,,,,,,
1846376005,6E0D7645,2016-187T01,14,0,28,0,,,,,,,,,,
1846379605,6E0D8455,2016-187T02,8,0,25,0,,,,,,,,,,
1846383205,6E0D9265,2016-187T03,11,1,34,0,,,,,,,,,,
1846386805,6E0DA075,2016-187T04,4,0,28,0,,,,,,,,,,
1846390405,6E0DAE85,2016-187T05,17,1,33,0,,,,,,,,,,
1846394005,6E0DBC95,2016-187T06,19,0,24,0,,,,,,,,,,
1846397605,6E0DCAA5,2016-187T07,9,1,25,0,,,,,,,,,,
1846401205,6E0DD8B5,2016-187T08,11,0,33,0,,,,,,,,,,
1846404805,6E0DE6C5,2016-187T09,15,0,21,0,,,,,,,,,,
1846408405,6E0DF4D5,2016-187T10,9,0,20,0,,,,,,,,,,
1846412005,6E0E02E5,2016-187T11,17,0,38,3,,,,,,,,,,
1846415605,6E0E10F5,2016-187T12,15,1,28,0,,,,,,,,,,
1846419205,6E0E1F05,2016-187T13,10,1,20,0,,,,,,,,,,
1846422805,6E0E2D15,2016-187T14,12,0,24,0,,,,,,,,,,
1846426405,6E0E3B25,2016-187T15,20,0,30,0,,,,,,,,,,
1846430005,6E0E4935,2016-187T16,16,1,28,0,,,,,,,,,,
1846433605,6E0E5745,2016-187T17,25,0,23,0,,,,,,,,,,
1846437205,6E0E6555,2016-187T18,26,0,25,1,,,,,,,,,,
1846440805,6E0E7365,2016-187T19,20,0,27,1,,,,,,,,,,
1846444405,6E0E8175,2016-187T20,18,0,28,0,,,,,,,,,,
1846448005,6E0E8F85,2016-187T21,19,0,32,0,,,,,,,,,,
1846451605,6E0E9D95,2016-187T22,21,0,26,0,,,,,,,,,,
1846455205,6E0EABA5,2016-187T23,21,1,25,0,,,,,,,,,,
1846458805,6E0EB9B5,2016-188T00,25,0,24,0,,,,,,,,,,
1846462405,6E0EC7C5,2016-188T01,24,0,22,0,,,,,,,,,,
1846466005,6E0ED5D5,2016-188T02,27,0,23,0,,,,,,,,,,
1846469605,6E0EE3E5,2016-188T03,14,0,18,0,,,,,,,,,,
1846473205,6E0EF1F5,2016-188T04,21,0,24,0,,,,,,,,,,
1846476805,6E0F0005,2016-188T05,21,0,24,0,,,,,,,,,,
1846480405,6E0F0E15,2016-188T06,19,0,30,0,,,,,,,,,,
1846484005,6E0F1C25,2016-188T07,25,0,32,0,,,,,,,,,,
1846487605,6E0F2A35,2016-188T08,28,0,24,1,,,,,,,,,,
1846491205,6E0F3845,2016-188T09,16,0,27,0,,,,,,,,,,
1846494805,6E0F4655,2016-188T10,26,0,37,0,,,,,,,,,,
1846498405,6E0F5465,2016-188T11,19,0,25,0,,,,,,,,,,
1846502005,6E0F6275,2016-188T12,24,0,22,1,,,,,,,,,,
1846505605,6E0F7085,2016-188T13,19,0,27,0,,,,,,,,,,
1846509205,6E0F7E95,2016-188T14,21,0,35,0,,,,,,,,,,
1846512805,6E0F8CA5,2016-188T15,20,0,32,0,,,,,,,,,,
1846516405,6E0F9AB5,2016-188T16,23,0,23,0,,,,,,,,,,
1846520005,6E0FA8C5,2016-188T17,10,0,23,0,,,,,,,,,,
1846523605,6E0FB6D5,2016-188T18,19,0,26,0,,,,,,,,,,
1846527205,6E0FC4E5,2016-188T19,20,0,23,0,,,,,,,,,,
1846530805,6E0FD2F5,2016-188T20,17,0,27,1,,,,,,,,,,
1846534405,6E0FE105,2016-188T21,20,0,21,0,,,,,,,,,,
1846538005,6E0FEF15,2016-188T22,24,0,18,0,,,,,,,,,,
1846541605,6E0FFD25,2016-188T23,15,0,21,0,,,,,,,,,,
1846545205,6E100B35,2016-189T00,19,0,18,1,,,,,,,,,,
1846548805,6E101945,2016-189T01,23,0,19,0,,,,,,,,,,
1846552405,6E102755,2016-189T02,21,0,17,0,,,,,,,,,,
1846556005,6E103565,2016-189T03,20,0,20,0,,,,,,,,,,
1846559605,6E104375,2016-189T04,17,0,29,0,,,,,,,,,,
1846563205,6E105185,2016-189T05,21,1,24,0,,,,,,,,,,
1846566805,6E105F95,2016-189T06,27,0,15,0,,,,,,,,,,
1846570405,6E106DA5,2016-189T07,20,0,21,0,,,,,,,,,,
1846574005,6E107BB5,2016-189T08,23,0,20,1,,,,,,,,,,
1846577605,6E1089C5,2016-189T09,13,0,26,0,,,,,,,,,,
1846581205,6E1097D5,2016-189T10,17,0,27,0,,,,,,,,,,
1846584805,6E10A5E5,2016-189T11,14,0,14,0,,,,,,,,,,
1846588405,6E10B3F5,2016-189T12,15,0,17,0,,,,,,,,,,
1846592005,6E10C205,2016-189T13,29,0,13,0,,,,,,,,,,
1846595605,6E10D015,2016-189T14,22,0,18,1,,,,,,,,,,
1846599205,6E10DE25,2016-189T15,13,0,21,0,,,,,,,,,,
1846602805,6E10EC35,2016-189T16,17,0,23,0,,,,,,,,,,
1846606405,6E10FA45,2016-189T17,20,0,21,0,,,,,,,,,,
1846610005,6E110855,2016-189T18,20,0,20,0,,,,,,,,,,
1846613605,6E111665,2016-189T19,23,0,22,0,,,,,,,,,,
1846617205,6E112475,2016-189T20,28,0,27,0,,,,,,,,,,
1846620805,6E113285,2016-189T21,18,0,19,0,,,,,,,,,,
1846624405,6E114095,2016-189T22,20,0,24,0,,,,,,,,,,
1846628005,6E114EA5,2016-189T23,22,0,19,0,,,,,,,,,,
1846631605,6E115CB5,2016-190T00,20,0,19,0,,,,,,,,,,
1846635205,6E116AC5,2016-190T01,18,0,15,0,,,,,,,,,,
1846638805,6E1178D5,2016-190T02,19,0,19,0,,,,,,,,,,
1846642405,6E1186E5,2016-190T03,17,0,19,0,,,,,,,,,,
1846646005,6E1194F5,2016-190T04,18,0,21,0,,,,,,,,,,
1846649605,6E11A305,2016-190T05,25,0,19,0,,,,,,,,,,
1846653205,6E11B115,2016-190T06,24,0,14,0,,,,,,,,,,
1846656805,6E11BF25,2016-190T07,16,0,13,0,,,,,,,,,,
1846660405,6E11CD35,2016-190T08,21,0,28,0,,,,,,,,,,
1846664005,6E11DB45,2016-190T09,19,0,20,0,,,,,,,,,,
1846667605,6E11E955,2016-190T10,19,3,19,1,,,,,,,,,,
1846671205,6E11F765,2016-190T11,15,0,15,0,,,,,,,,,,
1846674805,6E120575,2016-190T12,37,0,15,0,,,,,,,,,,
1846678405,6E121385,2016-190T13,17,0,25,0,,,,,,,,,,
1846682005,6E122195,2016-190T14,20,0,32,0,,,,,,,,,,
1846685605,6E122FA5,2016-190T15,18,2,17,0,,,,,,,,,,
1846689205,6E123DB5,2016-190T16,20,0,19,0,,,,,,,,,,
1846692805,6E124BC5,2016-190T17,29,0,18,1,,,,,,,,,,
1846696405,6E1259D5,2016-190T18,22,0,17,0,,,,,,,,,,
1846700005,6E1267E5,2016-190T19,15,0,27,0,,,,,,,,,,
1846703605,6E1275F5,2016-190T20,18,0,21,0,,,,,,,,,,
1846707205,6E128405,2016-190T21,28,0,17,0,,,,,,,,,,
1846710805,6E129215,2016-190T22,22,0,16,1,,,,,,,,,,
1846714405,6E12A025,2016-190T23,20,0,26,0,,,,,,,,,,
1846718005,6E12AE35,2016-191T00,19,0,23,0,,,,,,,,,,
1846721605,6E12BC45,2016-191T01,18,0,21,0,,,,,,,,,,
1846725205,6E12CA55,2016-191T02,21,0,40,0,,,,,,,,,,
1846728805,6E12D865,2016-191T03,18,0,19,0,,,,,,,,,,
1846732405,6E12E675,2016-191T04,19,0,12,0,,,,,,,,,,
1846736005,6E12F485,2016-191T05,33,1,29,0,,,,,,,,,,
1846739605,6E130295,2016-191T06,19,0,15,0,,,,,,,,,,
1846743205,6E1310A5,2016-191T07,15,2,12,0,,,,,,,,,,
1846746805,6E131EB5,2016-191T08,24,0,18,0,,,,,,,,,,
1846750405,6E132CC5,2016-191T09,20,0,17,1,,,,,,,,,,
1846754005,6E133AD5,2016-191T10,15,0,15,0,,,,,,,,,,
1846757605,6E1348E5,2016-191T11,24,0,18,0,,,,,,,,,,
1846761205,6E1356F5,2016-191T12,21,0,49,1,,,,,,,,,,
1846764805,6E136505,2016-191T13,20,1,26,0,,,,,,,,,,
1846768405,6E137315,2016-191T14,16,0,18,0,,,,,,,,,,
1846772005,6E138125,2016-191T15,32,5,27,0,,,,,,,,,,
1846775605,6E138F35,2016-191T16,19,0,21,0,,,,,,,,,,
1846779205,6E139D45,2016-191T17,15,0,22,0,,,,,,,,,,
1846782805,6E13AB55,2016-191T18,23,2,21,0,,,,,,,,,,
1846786405,6E13B965,2016-191T19,19,0,21,0,,,,,,,,,,
1846790005,6E13C775,2016-191T20,24,0,20,0,,,,,,,,,,
1846793605,6E13D585,2016-191T21,21,0,24,0,,,,,,,,,,
1846797205,6E13E395,2016-191T22,33,0,19,0,,,,,,,,,,
1846800805,6E13F1A5,2016-191T23,23,0,32,0,,,,,,,,,,
1846804405,6E13FFB5,2016-192T00,17,1,28,0,,,,,,,,,,
1846808005,6E140DC5,2016-192T01,20,0,32,1,,,,,,,,,,
1846811605,6E141BD5,2016-192T02,19,0,35,1,,,,,,,,,,
1846815205,6E1429E5,2016-192T03,19,0,32,0,,,,,,,,,,
1846818805,6E1437F5,2016-192T04,22,0,29,0,,,,,,,,,,
1846822405,6E144605,2016-192T05,23,4,23,0,,,,,,,,,,
1846826005,6E145415,2016-192T06,15,0,30,0,,,,,,,,,,
1846829605,6E146225,2016-192T07,18,0,19,0,,,,,,,,,,
1846833205,6E147035,2016-192T08,19,0,23,0,,,,,,,,,,
1846836805,6E147E45,2016-192T09,21,0,16,0,,,,,,,,,,
1846840405,6E148C55,2016-192T10,14,0,27,0,,,,,,,,,,
1846844005,6E149A65,2016-192T11,16,0,26,0,,,,,,,,,,
1846847605,6E14A875,2016-192T12,19,0,25,0,,,,,,,,,,
1846851205,6E14B685,2016-192T13,19,0,20,0,,,,,,,,,,
1846854805,6E14C495,2016-192T14,15,1,19,0,,,,,,,,,,
1846858405,6E14D2A5,2016-192T15,17,0,22,1,,,,,,,,,,
1846862005,6E14E0B5,2016-192T16,24,0,22,0,,,,,,,,,,
1846865605,6E14EEC5,2016-192T17,22,0,23,0,,,,,,,,,,
1846869205,6E14FCD5,2016-192T18,19,0,21,0,,,,,,,,,,
1846872805,6E150AE5,2016-192T19,16,0,25,1,,,,,,,,,,
1846876405,6E1518F5,2016-192T20,19,1,22,0,,,,,,,,,,
1846880005,6E152705,2016-192T21,24,0,20,0,,,,,,,,,,
1846883605,6E153515,2016-192T22,14,0,24,1,,,,,,,,,,
1846887205,6E154325,2016-192T23,28,1,27,0,,,,,,,,,,
1846890805,6E155135,2016-193T00,20,0,15,0,,,,,,,,,,
1846894405,6E155F45,2016-193T01,19,0,27,1,,,,,,,,,,
1846898005,6E156D55,2016-193T02,29,0,23,0,,,,,,,,,,
1846901605,6E157B65,2016-193T03,20,0,40,1,APOAPSIS,,,,,,,,,
1846905205,6E158975,2016-193T04,23,0,22,0,,,,,,,,,,
1846908805,6E159785,2016-193T05,19,1,27,0,,,,,,,,,,
1846912405,6E15A595,2016-193T06,23,0,23,0,,,,,,,,,,
1846916005,6E15B3A5,2016-193T07,13,0,26,0,,,,,,,,,,
1846919605,6E15C1B5,2016-193T08,13,1,25,0,,,,,,,,,,
1846923205,6E15CFC5,2016-193T09,19,1,23,0,,,,,,,,,,
1846926805,6E15DDD5,2016-193T10,20,0,26,0,,,,,,,,,,
1846930405,6E15EBE5,2016-193T11,17,0,27,0,,,,,,,,,,
1846934005,6E15F9F5,2016-193T12,21,0,26,0,,,,,,,,,,
1846937605,6E160805,2016-193T13,21,0,26,1,,,,,,,,,,
1846941205,6E161615,2016-193T14,25,0,26,0,,,,,,,,,,
1846944805,6E162425,2016-193T15,15,0,32,0,,,,,,,,,,
1846948405,6E163235,2016-193T16,22,1,20,0,,,,,,,,,,
1846952005,6E164045,2016-193T17,20,0,22,0,,,,,,,,,,
1846955605,6E164E55,2016-193T18,18,0,32,0,,,,,,,,,,
1846959205,6E165C65,2016-193T19,23,0,24,0,,,,,,,,,,
1846962805,6E166A75,2016-193T20,17,1,31,0,,,,,,,,,,
1846966405,6E167885,2016-193T21,22,0,28,0,,,,,,,,,,
1846970005,6E168695,2016-193T22,22,0,27,0,,,,,,,,,,
1846973605,6E1694A5,2016-193T23,28,2,35,0,,,,,,,,,,
1846977205,6E16A2B5,2016-194T00,16,0,20,0,,,,,,,,,,
1846980805,6E16B0C5,2016-194T01,26,1,31,0,,,,,,,,,,
1846984405,6E16BED5,2016-194T02,25,0,29,1,,,,,,,,,,
1846988005,6E16CCE5,2016-194T03,20,0,29,0,,,,,,,,,,
1846991605,6E16DAF5,2016-194T04,20,0,31,0,,,,,,,,,,
1846995205,6E16E905,2016-194T05,14,0,39,0,,,,,,,,,,
1846998805,6E16F715,2016-194T06,18,1,38,0,,,,,,,,,,
1847002405,6E170525,2016-194T07,17,0,24,0,,,,,,,,,,
1847006005,6E171335,2016-194T08,22,1,28,0,,,,,,,,,,
1847009605,6E172145,2016-194T09,22,0,31,0,,,,,,,,,,
1847013205,6E172F55,2016-194T10,21,0,30,0,,,,,,,,,,
1847016805,6E173D65,2016-194T11,16,0,28,0,,,,,,,,,,
1847020405,6E174B75,2016-194T12,20,1,27,0,,,,,,,,,,
1847024005,6E175985,2016-194T13,26,0,16,0,,,,,,,,,,
1847027605,6E176795,2016-194T14,22,1,23,3,,,,,,,,,,
1847031205,6E1775A5,2016-194T15,26,0,28,1,,,,,,,,,,
1847034805,6E1783B5,2016-194T16,17,0,28,0,,,,,,,,,,
1847038405,6E1791C5,2016-194T17,22,0,30,0,,,,,,,,,,
1847042005,6E179FD5,2016-194T18,25,2,25,0,,,,,,,,,,
1847045605,6E17ADE5,2016-194T19,15,0,15,0,,,,,,,,,,
1847049205,6E17BBF5,2016-194T20,23,0,16,0,,,,,,,,,,
1847052805,6E17CA05,2016-194T21,24,0,22,0,,,,,,,,,,
1847056405,6E17D815,2016-194T22,16,0,14,1,,,,,,,,,,
1847060005,6E17E625,2016-194T23,21,0,20,0,,,,,,,,,,
1847063605,6E17F435,2016-195T00,20,0,22,0,,,,,,,,,,
1847067205,6E180245,2016-195T01,19,0,29,0,,,,,,,,,,
1847070805,6E181055,2016-195T02,17,0,19,0,,,,,,,,,,
1847074405,6E181E65,2016-195T03,12,0,23,1,,,,,,,,,,
1847078005,6E182C75,2016-195T04,21,1,26,1,,,,,,,,,,
1847081605,6E183A85,2016-195T05,21,1,19,0,,,,,,,,,,
1847085205,6E184895,2016-195T06,24,1,25,0,,,,,,,,,,
1847088805,6E1856A5,2016-195T07,23,1,26,0,,,,,,,,,,
1847092405,6E1864B5,2016-195T08,23,0,18,0,,,,,,,,,,
1847096005,6E1872C5,2016-195T09,21,0,30,0,,,,,,,,,,
1847099605,6E1880D5,2016-195T10,21,0,26,0,,,,,,,,,,
1847103205,6E188EE5,2016-195T11,36,0,27,0,,,,,,,,,,
1847106805,6E189CF5,2016-195T12,29,0,27,0,,,,,,,,,,
1847110405,6E18AB05,2016-195T13,16,1,21,0,,,,,,,,,,
1847114005,6E18B915,2016-195T14,23,0,32,1,,,,,,,,,,
1847117605,6E18C725,2016-195T15,12,1,25,0,,,,,,,,,,
1847121205,6E18D535,2016-195T16,21,0,31,0,,,,,,,,,,
1847124805,6E18E345,2016-195T17,13,0,20,0,,,,,,,,,,
1847128405,6E18F155,2016-195T18,22,0,17,0,,,,,,,,,,
1847132005,6E18FF65,2016-195T19,22,0,23,0,,,,,,,,,,
1847135605,6E190D75,2016-195T20,19,0,24,0,,,,,,,,,,
1847139205,6E191B85,2016-195T21,22,0,22,1,,,,,,,,,,
1847142805,6E192995,2016-195T22,22,0,20,0,,,,,,,,,,
1847146405,6E1937A5,2016-195T23,26,0,20,0,,,,,,,,,,
1847150005,6E1945B5,2016-196T00,27,0,26,0,,,,,,,,,,
1847153605,6E1953C5,2016-196T01,12,1,28,0,,,,,,,,,,
1847157205,6E1961D5,2016-196T02,23,1,19,0,,,,,,,,,,
1847160805,6E196FE5,2016-196T03,22,0,25,0,,,,,,,,,,
1847164405,6E197DF5,2016-196T04,23,0,23,0,,,,,,,,,,
